read x_train success
read x_test success
start
Epoch: [44 | 100] LR: 0.001250; Train Loss 0.000455; Test Loss 3.262541; Train acc 99.988578; Test acc 61.649820; Test GAP 0.544751
Epoch: [45 | 100] LR: 0.000625; Train Loss 0.000445; Test Loss 3.256680; Train acc 99.994289; Test acc 61.684084; Test GAP 0.544998
Epoch: [46 | 100] LR: 0.000625; Train Loss 0.000445; Test Loss 3.250719; Train acc 99.988578; Test acc 61.666952; Test GAP 0.544939
Epoch: [47 | 100] LR: 0.000313; Train Loss 0.000441; Test Loss 3.247932; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544815
Epoch: [48 | 100] LR: 0.000313; Train Loss 0.000441; Test Loss 3.245018; Train acc 99.994289; Test acc 61.649820; Test GAP 0.544715
Epoch: [49 | 100] LR: 0.000156; Train Loss 0.000439; Test Loss 3.243615; Train acc 99.994289; Test acc 61.649820; Test GAP 0.544723
Epoch: [50 | 100] LR: 0.000156; Train Loss 0.000439; Test Loss 3.242205; Train acc 99.994289; Test acc 61.641254; Test GAP 0.544666
Epoch: [51 | 100] LR: 0.000078; Train Loss 0.000437; Test Loss 3.241508; Train acc 99.994289; Test acc 61.641254; Test GAP 0.544656
Epoch: [52 | 100] LR: 0.000078; Train Loss 0.000438; Test Loss 3.240790; Train acc 99.994289; Test acc 61.641254; Test GAP 0.544665
Epoch: [53 | 100] LR: 0.000039; Train Loss 0.000437; Test Loss 3.240437; Train acc 99.994289; Test acc 61.649820; Test GAP 0.544725
Epoch: [54 | 100] LR: 0.000039; Train Loss 0.000437; Test Loss 3.240073; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544800
Epoch: [55 | 100] LR: 0.000020; Train Loss 0.000437; Test Loss 3.239877; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544804
Epoch: [56 | 100] LR: 0.000020; Train Loss 0.000437; Test Loss 3.239678; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544806
Epoch: [57 | 100] LR: 0.000010; Train Loss 0.000437; Test Loss 3.239666; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544810
Epoch: [58 | 100] LR: 0.000010; Train Loss 0.000437; Test Loss 3.239654; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544815
Epoch: [59 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239642; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544812
Epoch: [60 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239628; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544812
Epoch: [61 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239616; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544815
Epoch: [62 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239604; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544815
Epoch: [63 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239592; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544815
Epoch: [64 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239579; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544826
Epoch: [65 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239566; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544826
Epoch: [66 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239555; Train acc 99.994289; Test acc 61.658386; Test GAP 0.544826
Epoch: [67 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239542; Train acc 99.994289; Test acc 61.666952; Test GAP 0.544884
Epoch: [68 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239529; Train acc 99.994289; Test acc 61.666952; Test GAP 0.544884
Epoch: [69 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239516; Train acc 99.994289; Test acc 61.675518; Test GAP 0.544977
Epoch: [70 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239503; Train acc 99.994289; Test acc 61.675518; Test GAP 0.544977
Epoch: [71 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239492; Train acc 99.994289; Test acc 61.675518; Test GAP 0.544976
Epoch: [72 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239478; Train acc 99.994289; Test acc 61.675518; Test GAP 0.544979
Epoch: [73 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239466; Train acc 99.994289; Test acc 61.675518; Test GAP 0.544985
Epoch: [74 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239453; Train acc 99.994289; Test acc 61.675518; Test GAP 0.544983
Epoch: [75 | 100] LR: 0.000010; Train Loss 0.000436; Test Loss 3.239440; Train acc 99.994289; Test acc 61.684084; Test GAP 0.545048
Epoch: [76 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239426; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545164
Epoch: [77 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239413; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545164
Epoch: [78 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239400; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545162
Epoch: [79 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239385; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545165
Epoch: [80 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239373; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545161
Epoch: [81 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239358; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545158
Epoch: [82 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239343; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545158
Epoch: [83 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239327; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545118
Epoch: [84 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239314; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545116
Epoch: [85 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239300; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545120
Epoch: [86 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239283; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545125
Epoch: [87 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239268; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545127
Epoch: [88 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239253; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545127
Epoch: [89 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239238; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545127
Epoch: [90 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239221; Train acc 99.994289; Test acc 61.684084; Test GAP 0.545075
Epoch: [91 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239206; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545157
Epoch: [92 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239191; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545161
Epoch: [93 | 100] LR: 0.000010; Train Loss 0.000435; Test Loss 3.239177; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545151
Epoch: [94 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239162; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545154
Epoch: [95 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239145; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545150
Epoch: [96 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239130; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545150
Epoch: [97 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239116; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545148
Epoch: [98 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239100; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545150
Epoch: [99 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239083; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545149
Epoch: [100 | 100] LR: 0.000010; Train Loss 0.000434; Test Loss 3.239069; Train acc 99.994289; Test acc 61.692650; Test GAP 0.545152
Best acc:
61.6926503367
