read x_train success
read x_test success
start
Epoch: [51 | 60] LR: 0.000313; Train Loss 0.000374; Test Loss 1.418575; Train acc 99.988578; Test acc 80.383759
Epoch: [52 | 60] LR: 0.000156; Train Loss 0.000370; Test Loss 1.418660; Train acc 99.994289; Test acc 80.375193
Epoch: [53 | 60] LR: 0.000156; Train Loss 0.000370; Test Loss 1.418570; Train acc 99.994289; Test acc 80.358061
Epoch: [54 | 60] LR: 0.000156; Train Loss 0.000370; Test Loss 1.418318; Train acc 99.994289; Test acc 80.366627
Epoch: [55 | 60] LR: 0.000078; Train Loss 0.000368; Test Loss 1.418318; Train acc 99.994289; Test acc 80.366627
Epoch: [56 | 60] LR: 0.000078; Train Loss 0.000368; Test Loss 1.418255; Train acc 99.994289; Test acc 80.366627
Epoch: [57 | 60] LR: 0.000078; Train Loss 0.000368; Test Loss 1.418148; Train acc 99.994289; Test acc 80.349495
Epoch: [58 | 60] LR: 0.000039; Train Loss 0.000367; Test Loss 1.418149; Train acc 99.994289; Test acc 80.358061
Epoch: [59 | 60] LR: 0.000039; Train Loss 0.000367; Test Loss 1.418106; Train acc 99.994289; Test acc 80.349495
Epoch: [60 | 60] LR: 0.000039; Train Loss 0.000367; Test Loss 1.418069; Train acc 99.994289; Test acc 80.340929
Best acc:
80.4094569154

